name,base_price,price,product_url,product_img,product_label
"
                                                        1인용 철재 모던 테이블 600, 빈티지브라운
                                                    "," 35,590  ","34,510",https://www.coupang.com/vp/products/4829497446?itemId=6229377560&vendorItemId=73525216344&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=dbe63647712644a4a8ef3432bdb51a4c&q=테이블,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/sbjm05re/f8ccf7e0a63e4a07937bc8284894fbc7.jpg,테이블
"
                                                        스토리퍼니쳐 레터링 테이블 해브 어 굿타임 중 720, 블랙
                                                    ",,"46,710",https://www.coupang.com/vp/products/223210224?itemId=700886023&vendorItemId=85215397351&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=dbe63647712644a4a8ef3432bdb51a4c&q=테이블,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/05/17/15/3/e3a447cd-4ca2-4fd4-9691-a91e013b1e1f.jpg,테이블
"
                                                        아이캔컴퍼니 황토 다용도상 접이식테이블 화이트 중
                                                    "," 15,000  ","14,600",https://www.coupang.com/vp/products/3320781?itemId=10315702&vendorItemId=3015211720&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=dbe63647712644a4a8ef3432bdb51a4c&q=테이블,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2018/10/31/3015211720/f91297e7-560c-4af0-b506-08d5768b0741.JPG,테이블
"
                                                        네츄럴 라인 다용도상 대형
                                                    "," 20,000  ","15,900",https://www.coupang.com/vp/products/493488?itemId=1437728&vendorItemId=3001384554&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=dbe63647712644a4a8ef3432bdb51a4c&q=테이블,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2017/07/03/3001384554/c672f21a-363f-4485-bc54-cce0598623d1.jpg,테이블
"
                                                        네츄럴 라인 다용도상 소형
                                                    "," 20,000  ","11,230",https://www.coupang.com/vp/products/2568423?itemId=1437730&vendorItemId=3001384557&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=dbe63647712644a4a8ef3432bdb51a4c&q=테이블,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2017/07/03/3001384557/7e71e22b-c951-4922-8d1e-9b3d98c912f7.jpg,테이블
"더조아 모던 테이블 1200, 네추럴"," 56,520  ","55,770",https://www.coupang.com/vp/products/4564659521?itemId=5566366432&vendorItemId=72865733030,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,테이블
LPM 800 심플 타원형 접이식테이블 샌드베이지," 29,210  ","28,800",https://www.coupang.com/vp/products/1879387784?itemId=14830178229&vendorItemId=82069556115,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,테이블
"코멧 멀티 책상 콘솔 1040, 화이트",,"26,990",https://www.coupang.com/vp/products/4544377895?itemId=5505365496&vendorItemId=72804950606,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,테이블
"더조아 모던 테이블 1200, 블랙",,"55,770",https://www.coupang.com/vp/products/4564659521?itemId=5566366403&vendorItemId=72865732882,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,테이블
"따니네 다용도 좌식 테이블 ZZ005 100 x 50 x 42.5 cm, 사각형 화이트"," 39,800  ","36,700",https://www.coupang.com/vp/products/1547791509?itemId=2649547356&vendorItemId=70640447965,//img1a.coupangcdn.com/image/coupang/search/blank1x1.gif,테이블
